Designator,Mid X,Mid Y,Rotation,Layer
D1,110.85,-83.83,90.0,top
D10,137.5,-114.92,90.0,top
D11,161.75,-113.67,90.0,top
D12,186.5,-114.92,90.0,top
D13,110.25,-130.17,90.0,top
D14,164.25,-133.33,90.0,top
D15,93.2,-48.0,0.0,top
D2,137.35,-83.58,90.0,top
D3,161.85,-83.41,90.0,top
D4,187.55,-83.67,90.0,top
D5,110.8,-99.01,90.0,top
D6,137.8,-99.51,90.0,top
D7,162.3,-98.75,90.0,top
D8,187.55,-99.26,90.0,top
D9,110.25,-114.84,90.0,top
GND1,247.5,-153.0,0.0,top
GROUND-0,236.5,-65.75,90.0,top
POSITIVE+0,236.25,-47.0,90.0,top
R1,93.46,-67.5,0.0,top
S1,98.54,-82.9845,0.0,top
S10,124.99,-115.1445,0.0,top
S11,150.06,-115.1045,0.0,top
S12,175.49,-115.1445,0.0,top
S13,98.56,-129.5745,0.0,top
S14,150.19,-132.8945,0.0,top
S2,124.74,-83.4845,0.0,top
S3,149.74,-83.3945,0.0,top
S4,175.16,-83.3545,0.0,top
S5,98.54,-98.7345,0.0,top
S6,124.81,-98.9445,0.0,top
S7,149.99,-98.8945,0.0,top
S8,175.29,-99.1945,0.0,top
S9,98.56,-114.1645,0.0,top
SOLENOID+1,83.98,-37.25,270.0,top
SOLENOID-1,103.0,-37.5,270.0,top
TOUCH_OUT1,189.0,-153.5,0.0,top
U1,93.46,-57.5,0.0,top
U2,139.5,-52.5,0.0,top
U2(LDO)0,212.065,-52.8,180.0,top
U3,219.05,-101.35,0.0,top
UART_RX1,204.0,-153.5,0.0,top
UART_TX1,216.5,-153.5,0.0,top
VCC_3.3V1,228.0,-153.5,0.0,top
VCC_MCU1,237.5,-153.5,0.0,top
